"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"12353","HKS 16 E","16-E","#BC5959","188","89","89","0.0","42.49","54.31","0.0","52.66","52.66","26.27","ColorNerd","hks"
"12354","HKS 17 E","17-E","#C45163","196","81","99","350.61","49.36","54.31","0.0","58.67","49.49","23.14","ColorNerd","hks"
"12355","HKS 18 E","18-E","#A64C5B","166","76","91","350.0","37.19","47.45","0.0","54.22","45.18","34.9","ColorNerd","hks"
"12356","HKS 21 E","21-E","#FD8999","253","137","153","351.72","96.67","76.47","0.0","45.85","39.53","0.78","ColorNerd","hks"
"12357","HKS 22 E","22-E","#F65B4F","246","91","79","4.31","90.27","63.73","0.0","63.01","67.89","3.53","ColorNerd","hks"
"12358","HKS 23 E","23-E","#E64E5B","230","78","91","354.87","75.25","60.39","0.0","66.09","60.43","9.8","ColorNerd","hks"
"12359","HKS 24 E","24-E","#DD4E6E","221","78","110","346.57","67.77","58.63","0.0","64.71","50.23","13.33","ColorNerd","hks"
"12360","HKS 25 E","25-E","#D5487A","213","72","122","338.72","62.67","55.88","0.0","66.2","42.72","16.47","ColorNerd","hks"
"12361","HKS 26 E","26-E","#D24A85","210","74","133","333.97","60.18","55.69","0.0","64.76","36.67","17.65","ColorNerd","hks"
"12362","HKS 27 E","27-E","#DD3F8E","221","63","142","330.0","69.91","55.69","0.0","71.49","35.75","13.33","ColorNerd","hks"
"12363","HKS 28 E","28-E","#C44B68","196","75","104","345.62","50.63","53.14","0.0","61.73","46.94","23.14","ColorNerd","hks"
"12364","HKS 29 E","29-E","#B03F9A","176","63","154","311.68","47.28","46.86","0.0","64.2","12.5","30.98","ColorNerd","hks"
"12365","HKS 31 E","31-E","#CF448E","207","68","142","328.06","59.15","53.92","0.0","67.15","31.4","18.82","ColorNerd","hks"
"12366","HKS 32 E","32-E","#DB3F81","219","63","129","334.62","68.42","55.29","0.0","71.23","41.1","14.12","ColorNerd","hks"
"12367","HKS 33 E","33-E","#AD41A8","173","65","168","302.78","45.38","46.67","0.0","62.43","2.89","32.16","ColorNerd","hks"
"12368","HKS 34 E","34-E","#844AA3","132","74","163","279.1","37.55","46.47","19.02","54.6","0.0","36.08","ColorNerd","hks"
"12369","HKS 35 E","35-E","#5A5199","90","81","153","247.5","30.77","45.88","41.18","47.06","0.0","40.0","ColorNerd","hks"
"12370","HKS 36 E","36-E","#7753A9","119","83","169","265.12","34.13","49.41","29.59","50.89","0.0","33.73","ColorNerd","hks"
"12371","HKS 37 E","37-E","#6D508F","109","80","143","267.62","28.25","43.73","23.78","44.06","0.0","43.92","ColorNerd","hks"
"12372","HKS 38 E","38-E","#545F77","84","95","119","221.14","17.24","39.8","29.41","20.17","0.0","53.33","ColorNerd","hks"
"12373","HKS 39 E","39-E","#247ECB","36","126","203","207.66","69.87","46.86","82.27","37.93","0.0","20.39","ColorNerd","hks"
"12374","HKS 40 E","40-E","#008EB5","0","142","181","192.93","100.0","35.49","100.0","21.55","0.0","29.02","ColorNerd","hks"
"12375","HKS 41 E","41-E","#4C5D79","76","93","121","217.33","22.84","38.63","37.19","23.14","0.0","52.55","ColorNerd","hks"
"12376","HKS 42 E","42-E","#4A6AAD","74","106","173","220.61","40.08","48.43","57.23","38.73","0.0","32.16","ColorNerd","hks"
"12377","HKS 43 E","43-E","#435FBC","67","95","188","226.12","47.45","50.0","64.36","49.47","0.0","26.27","ColorNerd","hks"
"12378","HKS 243 E","243-E","#286BBB","40","107","187","212.65","64.76","44.51","78.61","42.78","0.0","26.67","ColorNerd","hks"
"12379","HKS 44 E","44-E","#157ABC","21","122","188","203.71","79.9","40.98","88.83","35.11","0.0","26.27","ColorNerd","hks"
"12380","HKS 45 E","45-E","#5861A2","88","97","162","232.7","29.6","49.02","45.68","40.12","0.0","36.47","ColorNerd","hks"
"12381","HKS 46 E","46-E","#208CB6","32","140","182","196.8","70.09","41.96","82.42","23.08","0.0","28.63","ColorNerd","hks"
"12382","HKS 47 E","47-E","#008FCD","0","143","205","198.15","100.0","40.2","100.0","30.24","0.0","19.61","ColorNerd","hks"
"12383","HKS 48 E","48-E","#0093BC","0","147","188","193.09","100.0","36.86","100.0","21.81","0.0","26.27","ColorNerd","hks"
"12384","HKS 49 E","49-E","#0094C5","0","148","197","194.92","100.0","38.63","100.0","24.87","0.0","22.75","ColorNerd","hks"
"12385","HKS 50 E","50-E","#03B4D6","3","180","214","189.67","97.24","42.55","98.6","15.89","0.0","16.08","ColorNerd","hks"
"12386","HKS 51 E","51-E","#009CA8","0","156","168","184.29","100.0","32.94","100.0","7.14","0.0","34.12","ColorNerd","hks"
"12387","HKS 52 E","52-E","#00988D","0","152","141","175.66","100.0","29.8","100.0","0.0","7.24","40.39","ColorNerd","hks"
"12388","HKS 53 E","53-E","#00B59D","0","181","157","172.04","100.0","35.49","100.0","0.0","13.26","29.02","ColorNerd","hks"
"12389","HKS 54 E","54-E","#009C75","0","156","117","165.0","100.0","30.59","100.0","0.0","25.0","38.82","ColorNerd","hks"
"12390","HKS 55 E","55-E","#00927A","0","146","122","170.14","100.0","28.63","100.0","0.0","16.44","42.75","ColorNerd","hks"
"12391","HKS 56 E","56-E","#388375","56","131","117","168.8","40.11","36.67","57.25","0.0","10.69","48.63","ColorNerd","hks"
"12392","HKS 57 E","57-E","#279E6C","39","158","108","154.79","60.41","38.63","75.32","0.0","31.65","38.04","ColorNerd","hks"
"12393","HKS 58 E","58-E","#5B8463","91","132","99","131.71","18.39","43.73","31.06","0.0","25.0","48.24","ColorNerd","hks"
"12394","HKS 59 E","59-E","#00969C","0","150","156","182.31","100.0","30.59","100.0","3.85","0.0","38.82","ColorNerd","hks"
"12395","HKS 60 E","60-E","#57A854","87","168","84","117.86","33.33","49.41","48.21","0.0","50.0","34.12","ColorNerd","hks"
"12396","HKS 61 E","61-E","#5C7A5C","92","122","92","120.0","14.02","41.96","24.59","0.0","24.59","52.16","ColorNerd","hks"
"12397","HKS 62 E","62-E","#878751","135","135","81","60.0","25.0","42.35","0.0","0.0","40.0","47.06","ColorNerd","hks"
"12398","HKS 63 E","63-E","#6A925C","106","146","92","104.44","22.69","46.67","27.4","0.0","36.99","42.75","ColorNerd","hks"
"12399","HKS 64 E","64-E","#44AC57","68","172","87","130.96","43.33","47.06","60.47","0.0","49.42","32.55","ColorNerd","hks"
"12400","HKS 65 E","65-E","#56B650","86","182","80","116.47","41.13","51.37","52.75","0.0","56.04","28.63","ColorNerd","hks"
"12401","HKS 66 E","66-E","#83C748","131","199","72","92.13","53.14","53.14","34.17","0.0","63.82","21.96","ColorNerd","hks"
"12402","HKS 67 E","67-E","#86C747","134","199","71","90.47","53.33","52.94","32.66","0.0","64.32","21.96","ColorNerd","hks"
"12403","HKS 68 E","68-E","#D3BB3E","211","187","62","50.34","62.87","53.53","0.0","11.37","70.62","17.25","ColorNerd","hks"
"12404","HKS 69 E","69-E","#DBD240","219","210","64","56.52","68.28","55.49","0.0","4.11","70.78","14.12","ColorNerd","hks"
"12405","HKS 71 E","71-E","#DDA14F","221","161","79","34.65","67.62","58.82","0.0","27.15","64.25","13.33","ColorNerd","hks"
"12406","HKS 72 E","72-E","#DB974A","219","151","74","31.86","66.82","57.45","0.0","31.05","66.21","14.12","ColorNerd","hks"
"12407","HKS 73 E","73-E","#C08E55","192","142","85","31.96","45.92","54.31","0.0","26.04","55.73","24.71","ColorNerd","hks"
"12408","HKS 74 E","74-E","#9F774A","159","119","74","31.76","36.48","45.69","0.0","25.16","53.46","37.65","ColorNerd","hks"
"12409","HKS 75 E","75-E","#947C4B","148","124","75","40.27","32.74","43.73","0.0","16.22","49.32","41.96","ColorNerd","hks"
"12410","HKS 76 E","76-E","#7C6654","124","102","84","27.0","19.23","40.78","0.0","17.74","32.26","51.37","ColorNerd","hks"
"12411","HKS 77 E","77-E","#886A5A","136","106","90","20.87","20.35","44.31","0.0","22.06","33.82","46.67","ColorNerd","hks"
"12412","HKS 78 E","78-E","#996552","153","101","82","16.06","30.21","46.08","0.0","33.99","46.41","40.0","ColorNerd","hks"
"12413","HKS 81 E","81-E","#D57248","213","114","72","17.87","62.67","55.88","0.0","46.48","66.2","16.47","ColorNerd","hks"
"12414","HKS 82 E","82-E","#B9694C","185","105","76","15.96","43.78","51.18","0.0","43.24","58.92","27.45","ColorNerd","hks"
"12415","HKS 83 E","83-E","#9F6358","159","99","88","9.3","28.74","48.43","0.0","37.74","44.65","37.65","ColorNerd","hks"
"12416","HKS 84 E","84-E","#835C55","131","92","85","9.13","21.3","42.35","0.0","29.77","35.11","48.63","ColorNerd","hks"
"12417","HKS 88 E","88-E","#544E4B","84","78","75","20.0","5.66","31.18","0.0","7.14","10.71","67.06","ColorNerd","hks"
"12418","HKS 89 E","89-E","#B1A695","177","166","149","36.43","15.22","63.92","0.0","6.21","15.82","30.59","ColorNerd","hks"
"12419","HKS 90 E","90-E","#635A52","99","90","82","28.24","9.39","35.49","0.0","9.09","17.17","61.18","ColorNerd","hks"
"12420","HKS 91 E","91-E","#9DA6A2","157","166","162","153.33","4.81","63.33","5.42","0.0","2.41","34.9","ColorNerd","hks"
"12421","HKS 92 E","92-E","#757776","117","119","118","150.0","0.85","46.27","1.68","0.0","0.84","53.33","ColorNerd","hks"
"12422","HKS 93 E","93-E","#575C62","87","92","98","212.73","5.95","36.27","11.22","6.12","0.0","61.57","ColorNerd","hks"
"12423","HKS 95 E","95-E","#98978E","152","151","142","54.0","4.63","57.65","0.0","0.66","6.58","40.39","ColorNerd","hks"
"12424","HKS 96 E","96-E","#807D77","128","125","119","40.0","3.64","48.43","0.0","2.34","7.03","49.8","ColorNerd","hks"
"12425","HKS 97 E","97-E","#535451","83","84","81","80.0","1.82","32.35","1.19","0.0","3.57","67.06","ColorNerd","hks"
"12426","HKS 1 K","1-K","#F8D66A","248","214","106","45.63","91.03","69.41","0.0","13.71","57.26","2.75","ColorNerd","hks"
"12427","HKS 2 K","2-K","#F2D400","242","212","0","52.56","100.0","47.45","0.0","12.4","100.0","5.1","ColorNerd","hks"
"12428","HKS 3 K","3-K","#FEDA00","254","218","0","51.5","100.0","49.8","0.0","14.17","100.0","0.39","ColorNerd","hks"
"12429","HKS 4 K","4-K","#FFC100","255","193","0","45.41","100.0","50.0","0.0","24.31","100.0","0.0","ColorNerd","hks"
"12430","HKS 5 K","5-K","#FFB600","255","182","0","42.82","100.0","50.0","0.0","28.63","100.0","0.0","ColorNerd","hks"
"12431","HKS 6 K","6-K","#FF8C00","255","140","0","32.94","100.0","50.0","0.0","45.1","100.0","0.0","ColorNerd","hks"
"12432","HKS 7 K","7-K","#FF6B00","255","107","0","25.18","100.0","50.0","0.0","58.04","100.0","0.0","ColorNerd","hks"
"12433","HKS 8 K","8-K","#FF5D02","255","93","2","21.58","100.0","50.39","0.0","63.53","99.22","0.0","ColorNerd","hks"
"12434","HKS 10 K","10-K","#F94711","249","71","17","13.97","95.08","52.16","0.0","71.49","93.17","2.35","ColorNerd","hks"
"12435","HKS 11 K","11-K","#FF916E","255","145","110","14.48","100.0","71.57","0.0","43.14","56.86","0.0","ColorNerd","hks"
"12436","HKS 12 K","12-K","#ED3422","237","52","34","5.32","84.94","53.14","0.0","78.06","85.65","7.06","ColorNerd","hks"
"12437","HKS 13 K","13-K","#EF181E","239","24","30","358.33","87.04","51.57","0.0","89.96","87.45","6.27","ColorNerd","hks"
"12438","HKS 14 K","14-K","#DF252B","223","37","43","358.06","74.4","50.98","0.0","83.41","80.72","12.55","ColorNerd","hks"
"12439","HKS 15 K","15-K","#C90230","201","2","48","346.13","98.03","39.8","0.0","99.0","76.12","21.18","ColorNerd","hks"
"12440","HKS 16 K","16-K","#A02031","160","32","49","352.03","66.67","37.65","0.0","80.0","69.38","37.25","ColorNerd","hks"
"12441","HKS 17 K","17-K","#9F1438","159","20","56","344.46","77.65","35.1","0.0","87.42","64.78","37.65","ColorNerd","hks"
"12442","HKS 18 K","18-K","#701A32","112","26","50","343.26","62.32","27.06","0.0","76.79","55.36","56.08","ColorNerd","hks"
"12443","HKS 21 K","21-K","#FD778F","253","119","143","349.25","97.1","72.94","0.0","52.96","43.48","0.78","ColorNerd","hks"
"12444","HKS 22 K","22-K","#F43133","244","49","51","359.38","89.86","57.45","0.0","79.92","79.1","4.31","ColorNerd","hks"
"12445","HKS 23 K","23-K","#E1023B","225","2","59","344.66","98.24","44.51","0.0","99.11","73.78","11.76","ColorNerd","hks"
"12446","HKS 24 K","24-K","#C2154C","194","21","76","340.92","80.47","42.16","0.0","89.18","60.82","23.92","ColorNerd","hks"
"12447","HKS 25 K","25-K","#CF004F","207","0","79","337.1","100.0","40.59","0.0","100.0","61.84","18.82","ColorNerd","hks"
"12448","HKS 26 K","26-K","#B90065","185","0","101","327.24","100.0","36.27","0.0","100.0","45.41","27.45","ColorNerd","hks"
"12449","HKS 27 K","27-K","#D9007F","217","0","127","324.88","100.0","42.55","0.0","100.0","41.47","14.9","ColorNerd","hks"
"12450","HKS 28 K","28-K","#B1004F","177","0","79","333.22","100.0","34.71","0.0","100.0","55.37","30.59","ColorNerd","hks"
"12451","HKS 29 K","29-K","#8F1980","143","25","128","307.63","70.24","32.94","0.0","82.52","10.49","43.92","ColorNerd","hks"
"12452","HKS 31 K","31-K","#C00079","192","0","121","322.19","100.0","37.65","0.0","100.0","36.98","24.71","ColorNerd","hks"
"12453","HKS 32 K","32-K","#C0005F","192","0","95","330.31","100.0","37.65","0.0","100.0","50.52","24.71","ColorNerd","hks"
"12454","HKS 33 K","33-K","#A400A5","164","0","165","299.64","100.0","32.35","0.61","100.0","0.0","35.29","ColorNerd","hks"
"12455","HKS 34 K","34-K","#6B278C","107","39","140","280.4","56.42","35.1","23.57","72.14","0.0","45.1","ColorNerd","hks"
"12456","HKS 35 K","35-K","#443188","68","49","136","253.1","47.03","36.27","50.0","63.97","0.0","46.67","ColorNerd","hks"
"12457","HKS 36 K","36-K","#58278C","88","39","140","269.11","56.42","35.1","37.14","72.14","0.0","45.1","ColorNerd","hks"
"12458","HKS 37 K","37-K","#4F2778","79","39","120","269.63","50.94","31.18","34.17","67.5","0.0","52.94","ColorNerd","hks"
"12459","HKS 38 K","38-K","#122E45","18","46","69","207.06","58.62","17.06","73.91","33.33","0.0","72.94","ColorNerd","hks"
"12460","HKS 39 K","39-K","#0059BC","0","89","188","211.6","100.0","36.86","100.0","52.66","0.0","26.27","ColorNerd","hks"
"12461","HKS 40 K","40-K","#0081B1","0","129","177","196.27","100.0","34.71","100.0","27.12","0.0","30.59","ColorNerd","hks"
"12462","HKS 41 K","41-K","#1A3553","26","53","83","211.58","52.29","21.37","68.67","36.14","0.0","67.45","ColorNerd","hks"
"12463","HKS 42 K","42-K","#00379A","0","55","154","218.57","100.0","30.2","100.0","64.29","0.0","39.61","ColorNerd","hks"
"12464","HKS 43 K","43-K","#0033BB","0","51","187","223.64","100.0","36.67","100.0","72.73","0.0","26.67","ColorNerd","hks"
"12465","HKS 44 K","44-K","#0055AA","0","85","170","210.0","100.0","33.33","100.0","50.0","0.0","33.33","ColorNerd","hks"
"12466","HKS 45 K","45-K","#454C99","69","76","153","235.0","37.84","43.53","54.9","50.33","0.0","40.0","ColorNerd","hks"
"12467","HKS 46 K","46-K","#0077A9","0","119","169","197.75","100.0","33.14","100.0","29.59","0.0","33.73","ColorNerd","hks"
"12468","HKS 47 K","47-K","#0081CE","0","129","206","202.43","100.0","40.39","100.0","37.38","0.0","19.22","ColorNerd","hks"
"12469","HKS 48 K","48-K","#0086BE","0","134","190","197.68","100.0","37.25","100.0","29.47","0.0","25.49","ColorNerd","hks"
